Date,City,State,Lat,Lng,Population,AQI,Category,Defining_Parameter,initial_business_closure
2019-03-20,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,Ozone,2020-03-16
2019-03-21,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,Ozone,2020-03-16
2019-03-22,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-03-23,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,48,Good,Ozone,2020-03-16
2019-03-24,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-03-25,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-03-26,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-03-27,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-03-28,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-03-29,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-03-30,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-03-31,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,39,Good,Ozone,2020-03-16
2019-04-01,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-04-02,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-04-03,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-04-04,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,Ozone,2020-03-16
2019-04-05,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-04-06,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,Ozone,2020-03-16
2019-04-07,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-04-08,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-04-09,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-04-10,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,89,Moderate,PM10,2020-03-16
2019-04-11,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,45,Good,PM10,2020-03-16
2019-04-12,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,48,Good,Ozone,2020-03-16
2019-04-13,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-04-14,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-04-15,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-04-16,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-04-17,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-04-18,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,50,Good,Ozone,2020-03-16
2019-04-19,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-04-20,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,Ozone,2020-03-16
2019-04-21,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,Ozone,2020-03-16
2019-04-22,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,Ozone,2020-03-16
2019-04-23,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-04-24,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,50,Good,Ozone,2020-03-16
2019-04-25,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-04-26,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,Ozone,2020-03-16
2019-04-27,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-04-28,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-04-29,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,44,Good,Ozone,2020-03-16
2019-04-30,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,45,Good,Ozone,2020-03-16
2019-05-01,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,48,Good,Ozone,2020-03-16
2019-05-02,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,50,Good,Ozone,2020-03-16
2019-05-03,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-05-04,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-05-05,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,87,Moderate,Ozone,2020-03-16
2019-05-06,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,74,Moderate,Ozone,2020-03-16
2019-05-07,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,59,Moderate,PM10,2020-03-16
2019-05-08,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-05-09,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,42,Good,Ozone,2020-03-16
2019-05-10,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,31,Good,Ozone,2020-03-16
2019-05-11,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,42,Good,Ozone,2020-03-16
2019-05-12,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,50,Good,Ozone,2020-03-16
2019-05-13,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-05-14,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-05-15,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-05-16,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-05-17,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,74,Moderate,Ozone,2020-03-16
2019-05-18,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,50,Good,Ozone,2020-03-16
2019-05-19,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,74,Moderate,Ozone,2020-03-16
2019-05-20,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-05-21,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,54,Moderate,Ozone,2020-03-16
2019-05-22,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,Ozone,2020-03-16
2019-05-23,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,93,Moderate,Ozone,2020-03-16
2019-05-24,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,80,Moderate,Ozone,2020-03-16
2019-05-25,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-05-26,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-05-27,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-05-28,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,Ozone,2020-03-16
2019-05-29,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-05-30,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-05-31,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,90,Moderate,Ozone,2020-03-16
2019-06-01,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-06-02,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,54,Moderate,Ozone,2020-03-16
2019-06-03,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,Ozone,2020-03-16
2019-06-04,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-06-05,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,90,Moderate,Ozone,2020-03-16
2019-06-06,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,77,Moderate,Ozone,2020-03-16
2019-06-07,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,87,Moderate,Ozone,2020-03-16
2019-06-08,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,74,Moderate,Ozone,2020-03-16
2019-06-09,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,90,Moderate,PM10,2020-03-16
2019-06-10,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-06-11,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,PM2.5,2020-03-16
2019-06-12,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-06-13,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,80,Moderate,Ozone,2020-03-16
2019-06-14,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-06-15,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-06-16,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,74,Moderate,Ozone,2020-03-16
2019-06-17,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,Ozone,2020-03-16
2019-06-18,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-06-19,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,84,Moderate,Ozone,2020-03-16
2019-06-20,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,90,Moderate,Ozone,2020-03-16
2019-06-21,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,86,Moderate,PM2.5,2020-03-16
2019-06-22,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,88,Moderate,PM2.5,2020-03-16
2019-06-23,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-06-24,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-06-25,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,97,Moderate,Ozone,2020-03-16
2019-06-26,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-06-27,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,56,Moderate,PM10,2020-03-16
2019-06-28,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-06-29,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,Ozone,2020-03-16
2019-06-30,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-07-01,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,57,Moderate,PM2.5,2020-03-16
2019-07-02,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-07-03,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,54,Moderate,PM2.5,2020-03-16
2019-07-04,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,96,Moderate,PM2.5,2020-03-16
2019-07-05,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,45,Good,Ozone,2020-03-16
2019-07-06,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,PM2.5,2020-03-16
2019-07-07,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-07-08,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,50,Good,Ozone,2020-03-16
2019-07-09,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,80,Moderate,Ozone,2020-03-16
2019-07-10,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-07-11,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,90,Moderate,Ozone,2020-03-16
2019-07-12,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-07-13,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-07-14,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,Ozone,2020-03-16
2019-07-15,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,Ozone,2020-03-16
2019-07-16,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,Ozone,2020-03-16
2019-07-17,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-07-18,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,50,Good,Ozone,2020-03-16
2019-07-19,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-07-20,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-07-21,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,Ozone,2020-03-16
2019-07-22,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,Ozone,2020-03-16
2019-07-23,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-07-24,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,93,Moderate,Ozone,2020-03-16
2019-07-25,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,74,Moderate,Ozone,2020-03-16
2019-07-26,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,105,Unhealthy for Sensitive Groups,Ozone,2020-03-16
2019-07-27,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,93,Moderate,Ozone,2020-03-16
2019-07-28,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-07-29,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-07-30,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,108,Unhealthy for Sensitive Groups,Ozone,2020-03-16
2019-07-31,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,54,Moderate,Ozone,2020-03-16
2019-08-01,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,54,Moderate,Ozone,2020-03-16
2019-08-02,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,77,Moderate,Ozone,2020-03-16
2019-08-03,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,77,Moderate,Ozone,2020-03-16
2019-08-04,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,80,Moderate,Ozone,2020-03-16
2019-08-05,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,93,Moderate,Ozone,2020-03-16
2019-08-06,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,64,Moderate,Ozone,2020-03-16
2019-08-07,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,84,Moderate,Ozone,2020-03-16
2019-08-08,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,77,Moderate,Ozone,2020-03-16
2019-08-09,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,84,Moderate,Ozone,2020-03-16
2019-08-10,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-08-11,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,Ozone,2020-03-16
2019-08-12,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,45,Good,Ozone,2020-03-16
2019-08-13,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,46,Good,Ozone,2020-03-16
2019-08-14,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,47,Good,Ozone,2020-03-16
2019-08-15,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-08-16,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-08-17,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-08-18,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,54,Moderate,Ozone,2020-03-16
2019-08-19,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-08-20,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-08-21,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,74,Moderate,Ozone,2020-03-16
2019-08-22,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,80,Moderate,Ozone,2020-03-16
2019-08-23,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,54,Moderate,Ozone,2020-03-16
2019-08-24,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-08-25,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-08-26,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,54,Moderate,Ozone,2020-03-16
2019-08-27,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,77,Moderate,Ozone,2020-03-16
2019-08-28,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,67,Moderate,Ozone,2020-03-16
2019-08-29,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,Ozone,2020-03-16
2019-08-30,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,49,Good,Ozone,2020-03-16
2019-08-31,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-09-01,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,61,Moderate,Ozone,2020-03-16
2019-09-02,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,71,Moderate,Ozone,2020-03-16
2019-09-03,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,87,Moderate,Ozone,2020-03-16
2019-09-04,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,80,Moderate,Ozone,2020-03-16
2019-09-05,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,101,Unhealthy for Sensitive Groups,Ozone,2020-03-16
2019-09-06,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,108,Unhealthy for Sensitive Groups,Ozone,2020-03-16
2019-09-07,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,51,Moderate,Ozone,2020-03-16
2019-09-08,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,54,Moderate,Ozone,2020-03-16
2019-09-09,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-09-10,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,58,Moderate,Ozone,2020-03-16
2019-09-11,Albuquerque,NM,35.08449,-106.65113999999998,559121.0,45,Good,Ozone,2020-03-16
